client_id,round,flops
f0009_06,1,11704094720.0
f0001_41,1,12805656576.0
f0002_01,1,12530266112.0
f0008_45,1,12977775616.0
f0004_09,1,9776361472.0
f0002_01,2,12530266112.0
f0003_42,2,12323723264.0
f0005_26,2,10877923328.0
f0001_41,2,12805656576.0
f0009_06,2,11704094720.0
f0003_42,3,12323723264.0
f0005_26,3,10877923328.0
f0002_01,3,12530266112.0
f0008_45,3,12977775616.0
f0004_09,3,9776361472.0
f0006_12,4,11772942336.0
f0002_01,4,12530266112.0
f0001_41,4,12805656576.0
f0009_06,4,11704094720.0
f0007_14,4,11635247104.0
f0002_01,5,12530266112.0
f0004_09,5,9776361472.0
f0005_26,5,10877923328.0
f0007_14,5,11635247104.0
f0001_41,5,12805656576.0
f0008_45,6,12977775616.0
f0002_01,6,12530266112.0
f0001_41,6,12805656576.0
f0009_06,6,11704094720.0
f0005_26,6,10877923328.0
f0002_01,7,12530266112.0
f0008_45,7,12977775616.0
f0003_42,7,12323723264.0
f0001_41,7,12805656576.0
f0007_14,7,11635247104.0
f0000_14,8,11841789952.0
f0002_01,8,12530266112.0
f0009_06,8,11704094720.0
f0003_42,8,12323723264.0
f0005_26,8,10877923328.0
f0008_45,9,12977775616.0
f0004_09,9,9776361472.0
f0007_14,9,11635247104.0
f0009_06,9,11704094720.0
f0001_41,9,12805656576.0
f0001_41,10,12805656576.0
f0005_26,10,10877923328.0
f0002_01,10,12530266112.0
f0000_14,10,11841789952.0
f0008_45,10,12977775616.0
